image_path,caption
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/476499.jpg,There is a red train at this station on the opposite side
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/55425.jpg,A row of parked motorcycles sitting on the side of a street.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/169395.jpg,A man is looking at an outdoor clock.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/271495.jpg,A man is in the kitchen chopping bell peppers.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/578497.jpg,two  red and white plates with an egg roll rice and other food and some sauces
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/429758.jpg,A couple of birds sitting on top of a rock next to the ocean.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/111417.jpg,a man who is para sailing on the ocean 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/69878.jpg,A person holding a chicken sandwich in a paper container.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/453582.jpg,A number of kites flying high above a crowd
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/216314.jpg,A person walking in the sand while flying a kite. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/232389.jpg,Two pizza pies sitting on a table ready to eat.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/239120.jpg,A table topped with a bowl of food and a drink.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/350534.jpg,A professional baseball player signing a bat at a game.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/480717.jpg,A crowd of people demonstrating with police walking with them. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/538537.jpg,A woman pouring a glass of wine on a table.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/171075.jpg,"A room with a chair, pictures, cabinet and boxes."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/107436.jpg,A cat sitting on an entertainment center while staring at a tv screen.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/263231.jpg,A small bird holding a bug in it's mouth.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/475380.jpg,a dog is pulling on a frisbee with its owner
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/376426.jpg,A couple of carrots sitting next a white dish covered in carrot goo.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/523815.jpg,A man sliding a baking sheet with food on it into the oven.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/401847.jpg,Highway road sign announcing exit ahead for vehicle traffic.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/63230.jpg,A coffee shop with chairs and tables outside of the shop.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/157921.jpg,a couple of elephants are standing in a field
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/175523.jpg,A red food truck with a woman looking at the menu.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/357926.jpg,A clock and a counter in a room.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/378059.jpg,A bear walking around on a rock filled ground.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/467800.jpg,Cross country skiers skiing over snow covered ground.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/126681.jpg,A woman flies a kite at the beach.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/479038.jpg,The large tour bus has red lettering on the side of it. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/337158.jpg,"Urinal, toilet paper roll, and sink inside of a bathroom."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/534694.jpg,A baseball game in progress on a soccer field.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/343872.jpg,Sheep and a woman in a field in front of a cityscape.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/37582.jpg,A couple of grizzly bear fishing for cood in a river.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/271701.jpg,A cheesy pepperoni pizza sitting on top of a metal pan.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/181474.jpg,Man riding the waves on a surf board.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/329715.jpg,Man are standing near a couch holding Wii controllers.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/302685.jpg,A person in a wet suit riding a surfboard on a wave.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/221894.jpg,"A plate topped with carrots, apples and onion."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/288770.jpg,A cat sits by the window staring outside at the falling snowflakes.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/296987.jpg,A small boy skating on a pavement close to the wall
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/224241.jpg,Young skateboarders are being shown at the skate park.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/492684.jpg,A sightseeing bus is filled with people touring the city.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/250352.jpg,a brown and white horse and a white and black horse
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/349193.jpg,Two people are jumping in the air to catch a Frisbee.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/291207.jpg,The man is preparing food on the grill.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/151934.jpg,A blue city bus is parked next to a bus stop.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/18917.jpg,Meat and pasta dish with vegetable served in bowl.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/43016.jpg,A large passenger jet flying through a  gray sky.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/256965.jpg,there is a tent up outside of a small trailer
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/57689.jpg,there are two zebras standing close to each other
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/571562.jpg,A book laying on top of a bed next to a pillow.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/317687.jpg,A red car backs up into an overturned refrigerator.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/557804.jpg,A tall man wearing a hat is walking.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/55651.jpg,two people in a kitchen area with sinks and a stove
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/479803.jpg,The roof tops of the buildings in a city area.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/55317.jpg,Two people jump up trying to catch the same Frisbee.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/327304.jpg,A bathroom with toilet seat up in a tower building with a window
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/350514.jpg,People wait at the station to board a train.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/69839.jpg,A white plate topped with a pizza on top of a table.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/2754.jpg,A dog hanging it's head out of a truck window.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/563436.jpg,A large brown dog eating a red ball.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/24305.jpg,Man and woman and dress clothes cutting through a white cake. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/54082.jpg,A piece of cake covered in whipped cream sitting on top of a plate.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/367814.jpg,A blue counter top with lots of pairs of scissors on them.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/3830.jpg,City traffic on large boulevard shown at dusk.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/311818.jpg,A doughnut that is on a plate with fruit.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/400134.jpg,A dog stands behind a wire door outside
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/571168.jpg,A small public bathroom with a toilet and sink.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/57992.jpg,two horses running on a hill near bushes 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/497274.jpg,a white truck is driving down the street
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/164850.jpg,Blue umbrella above railing on partly cloudy day.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/225393.jpg,A standing toilet sitting inside of a bathroom.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/78909.jpg,a plate with a sandwich and lettuce on it 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/54323.jpg,A brown bathroom with a walk in shower
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/32458.jpg,A red double decker bus on the street.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/156943.jpg,"Bread, soup, and fruit are pictured together on plates. "
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/86560.jpg,"Three people sit on a couch, the man in the middle holds a frisbee."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/560748.jpg,A large sandwich with coleslaw french-fries and vegetables.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/550449.jpg,A lady is holding a super cheesy meal.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/426128.jpg,A group of friend laying on top of a bed.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/95774.jpg,A couple of people carrying surfboards next to a ocean.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/137635.jpg,A all white dog playing with a Frisbee on the ground. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/521334.jpg,a man and woman look inside of a oven 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/372020.jpg,A man floating on a raft with an umbrella turned upwards.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/17450.jpg,A man riding a skateboard up the side of a ramp.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/98116.jpg,the bikes are all parked with no one on them. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/548893.jpg,An orange and white train traveling past a forest filled with lots of green trees.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/562162.jpg,A plastic container filled with lots of different veggies and Mickey Mouse.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/515298.jpg,A white toilet sitting on top of a tile floor in a bathroom.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/241491.jpg,A man hovering over a chocolate cake on a wooden counter.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/226639.jpg,A man putting his nose on the nose of a horse.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/133114.jpg,"A photograph of an outside with numerous things in the scene.
"
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/511774.jpg,A group of men getting off of an airplane.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/218147.jpg,a pepperoni and pepper pizza sitting on top of an stove
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/67269.jpg,A man riding a bike while holding a surfboard.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/134799.jpg,A person holding up their phone to record something
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/344924.jpg,Zebra stands in front of rocks while other zebra eats
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/547879.jpg,A woman bending over preparing food on a brick wall.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/550237.jpg,"a kid with a toothbrush in her hand in the bathroom
"
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/228817.jpg,A small white bathroom with several white towels.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/541690.jpg,A young man holds the head of a sheep at a livestock show.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/310021.jpg,"A clean, empty refrigerator with its two doors open."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/341714.jpg,A pile of books sitting on a table underneath a clock.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/332833.jpg,"A person is standing over a teddy bear, wearing red socks. "
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/472224.jpg,birds swimming on waters near a bush with grass
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/398523.jpg,A stop sign on a wooden pole in the water.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/56963.jpg,an airplane sitting on a tarmac next to a runway.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/303232.jpg,A group of giraffe standing next to a forest with green trees.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/518180.jpg,A vase that has flowers inside of it.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/409825.jpg,Many people are attending an upscale dinner event.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/532521.jpg,A blue and white. passenger jet taxiing on the runway.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/470632.jpg,A girls feet and shoes are touching each other.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/546474.jpg,Two zebra in an enclosure touching each other.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/534183.jpg,A small bathroom with a white vanity and toilet and tan tile floor.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/520352.jpg,The vase is holding such beautiful flowers by the window.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/50106.jpg,Several people waiting on the sidewalk playing with their phones.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/38474.jpg,A cat laying on top of an open laptop computer.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/38686.jpg,Computer work on the back deck with the dog nearby
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/430925.jpg,A cake decorated with ponies and a pile of macaron cookies on the side.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/459355.jpg,A man in black shirt catching a frisbee between his legs.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/47935.jpg,A woman shows off her pizza on a cutting board in a kitchen.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/509587.jpg,A grizzly bear perched on a dead tree.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/453037.jpg,a batter swinging the bat after hitting the ball
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/131434.jpg,A small brown and white cat under a car.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/452412.jpg,A herd of zebra standing on a dry grass field.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/558405.jpg,"The woman is walking in the city in a bricked alley, holding an umbrella."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/498000.jpg,"A herd of cattle walking around a hilly, grassy area."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/475275.jpg,A zebra is standing outside and eating grass.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/1085.jpg,An orange cat laying on a bed with a black comforter.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/441172.jpg,A person sitting against a wall as another walks by with an umbrella.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/347653.jpg,The jar that is left out on the table is dirty. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/153666.jpg,"A street with a barrier, traffic lights and buildings."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/247744.jpg,A toilet is surrounded by colorfully painted walls.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/482789.jpg,An adorable white dog sitting in a window sill 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/4888.jpg,A boat traveling through the water towards a rocky shore.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/231845.jpg,Two gentleman are playing on the Wii. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/362145.jpg,A person standing in a court with a tennis racket.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/567018.jpg,A pair of donuts in a tissue paper wrapping sit atop a counter.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/201386.jpg,A train traveling down the side of a lush green hillside.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/154794.jpg,A couple sitting on a red bench overlooking the ocean.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/10728.jpg,"A pizza topped with meat, olives, and peppers."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/476881.jpg,A greasey burger and a drink on a table
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/72902.jpg,A man standing by a dog catching a frisbee on a field.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/40325.jpg,A large boat kicking up spray in the water.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/318365.jpg,"someone holding a teddy bear above a toilet
"
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/98278.jpg,A man talking on a cell phone while holding a pen.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/304548.jpg,A man riding a snowboard down the side of a snow covered slope.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/532227.jpg,A snowboarder on a snowy mountain slope on a clear day.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/540785.jpg,A red plane flying across a bright blue sky.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/480893.jpg,A large gray elephant standing on top of a dirt field.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/40219.jpg,A couple of people standing in front of a mirror.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/236142.jpg,A covered barbeque grill and benches against the wall of a house.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/565546.jpg,a man that is sitting in a white truck
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/552346.jpg,A young man standing in the snow next to snow boards.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/60980.jpg,A person holding two remotes strapped together with ties
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/390792.jpg,A man that is sitting in a van.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/79896.jpg,A run down toilet in need of desperate work.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/52902.jpg,A young woman is holding a cell phone open next to her face.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/493547.jpg,A man is laying naked in his bed reading a book.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/184320.jpg,A man standing with his arms in the air and a frisbee near his face.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/349134.jpg,two ladies and kids playing sports in a green yard 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/542643.jpg,A baseball player holding a bat standing next to home plate.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/149180.jpg,a couple of dogs are laying on a bed
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/498079.jpg,A woman on a blue bicycle looking at a cell phone.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/320403.jpg,Two giraffe standing next to each other.on a lush green field.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/139344.jpg,A giraffe standing next to a green palm tree.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/359104.jpg,A temporary sign for no parking is taped to a permanent street sign.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/380522.jpg,A group of people standing on top of a beach flying kites.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/211593.jpg,People in a field flying a kite by its long colorful tail
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/193243.jpg,A blue sign suspended above a street with cars driving under it.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/504976.jpg,A bathroom area with a toilet paper dispenser and a toilet.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/255992.jpg,a man gazing around before some ripe bananas
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/369355.jpg,A row of urinals mounted to a wall next to a row of sinks.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/415529.jpg,A lady and a man sitting on a bench next to a fence.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/37125.jpg,A clock next to a statue and bells on a building.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/166093.jpg,A woman standing on a tennis court holding a racquet.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/326849.jpg,A yellow banana on top of a coffee cup in a microwave. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/564063.jpg,Soldiers with guns in the back of trucks in a parade. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/231104.jpg,An airplane being loaded with bags and luggage.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/552518.jpg,A couple of young people talk on the terrace of a shop in the city.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/190378.jpg,A white plate topped with a pizza next to a bowl of salad.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/548428.jpg,AN AIRPLANE IS PARKED ON THE TAR MAP IN A FIELD 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/164044.jpg,A red bus parked in a parking lot near a building.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/82246.jpg,A man sitting on a bench next to a bike with basket.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/411751.jpg,A skier rides the slopes down a snowy hill
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/246280.jpg,A tennis player is swinging on a court.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/147122.jpg,A modern kitchen done in white with a living room near by.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/287094.jpg,"An apple, lemon and carrots are on a table."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/1510.jpg,"A plate with chicken, broccoli and mushrooms with a bit of gravy."
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/431865.jpg,A blond curly haired boy eating a piece of pizza.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/121350.jpg,A mustard colored couch sits below a red painting.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/372141.jpg,Man holding a skateboard talks to a boy standing over him. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/40971.jpg,A long bill bird standing on a beach next to the ocean.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/315488.jpg,A herd of cows laying on the beach in the sand
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/20039.jpg,An old blue truck has its hood open.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/180351.jpg,An old lady sits in a dark room.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/247631.jpg,A clock with the alarm icon on it sitting on a table.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/169448.jpg,Five trucks parked behind each other near a building. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/24086.jpg,A little girl is looking at a plate of cakes.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/430692.jpg,many items on a table with an ipod a wallet 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/136078.jpg,A large group of elephants in a grass field.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/235760.jpg,a number of children playing with a stuffed animal 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/290259.jpg,A large semi truck with a tractor trailer on the back.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/384563.jpg,Image of a kitchen sink below a shelf with a dish rack nearby.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/350360.jpg,A man flying through the air over a net on a snow covered slope.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/45491.jpg,A man laying on top of a bed next to a pile of luggage.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/2309.jpg,A white tower sitting in the middle of a brick planter.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/339674.jpg,A group of young men playing a game of frisbee.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/529529.jpg,A person just a very nice looking at the ground.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/102488.jpg,The fireplace has framed photos on the mantel.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/273789.jpg,A woman in shorts taking a swing at a ball
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/505865.jpg,A pole with traffic signs stacked on top of each other.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/256794.jpg,a few animals that are next to a tree and water
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/448887.jpg,lines of buses sitting around in a bus lot with arabic writing on the side
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/30910.jpg,A red train with lots of tanker cars behind it.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/570075.jpg,People on the boardwalk and beach flying kites
